complaint_id,complaint_text,category,issue_subtype,duplicate_group_id,location,priority,status,reported_by_role,date_reported
65777,Water keeps dripping from the common room tap even when closed.,Plumbing,tap leaking,1007,Room B139,Low,Resolved,Staff,2024-01-23
65778,Chair near the window has a broken backrest.,Furniture,chair broken,1011,Room D110,Medium,Open,Student,2024-01-14
65779,The bed fan switch works but the blades don't move.,HVAC/Fan,fan not working,1001,Block B Floor 4 corridor,Low,In Progress,Student,2025-04-23
65780,WiFi isn't working at all in Room C132.,Internet/WiFi,wifi not working,1017,Room E139,Medium,Resolved,Faculty,2024-01-18
65781,"There are exposed wires near the entrance in Room C127, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room C139,High,Open,Student,2025-04-16
65782,The tap in Room B105 is leaking non-stop.,Plumbing,tap leaking,1007,Room A142,High,Escalated,Student,2026-01-17
65783,Electrical outlet near the switchboard has stopped working.,Electrical,power outlet not working,1003,Room A141,Medium,Resolved,Student,2024-04-22
65784,Can someone check the window fan? It's clicking every time it spins.,HVAC/Fan,fan making noise,1000,Room A130,Low,In Progress,Student,2025-08-13
65785,There's water seepage on the wall in Room D126.,Structural,seepage/dampness,1016,Room A138,High,Open,Student,2024-11-18
65786,There's constant loud noise coming from Room B133 at night.,Noise/Nuisance,noise disturbance,1021,Room E133,Low,Escalated,Student,2024-11-15
65787,There's constant loud noise coming from Room D106 at night.,Noise/Nuisance,noise disturbance,1021,Room A110,Low,In Progress,Student,2024-01-26
65788,Water keeps dripping from the common room tap even when closed.,Plumbing,tap leaking,1007,Room A107,Low,Resolved,Faculty,2025-03-21
65789,Water keeps dripping from the main door tap even when closed.,Plumbing,tap leaking,1007,Room A121,Low,Resolved,Faculty,2025-02-26
65790,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room D118,High,Open,Student,2024-03-01
65791,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room C131,High,Resolved,Student,2025-12-18
65792,Internet speed in Room A119 is extremely slow.,Internet/WiFi,slow internet,1018,Room D132,Low,Open,Student,2025-08-22
65793,"There are cockroaches in Room E123, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room B131,High,Open,Warden,2024-01-26
65794,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room D141,Medium,Open,Student,2024-11-14
65795,"Tube light in my room flickers constantly, very annoying.",Electrical,light flickering,1004,Block B Floor 2 corridor,Medium,Resolved,Student,2024-12-02
65796,AC unit in my room has stopped cooling properly.,HVAC/Fan,AC not cooling,1002,Room B132,Medium,In Progress,Student,2026-06-08
65797,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room E131,Medium,Open,Student,2024-12-22
65798,Connection near the washbasin keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room A140,Low,Resolved,Student,2025-12-17
65799,The ceiling light keeps going dim then bright in my room.,Electrical,light flickering,1004,Room B122,Low,Resolved,Visitor,2025-11-20
65800,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room C134,Medium,In Progress,Student,2025-07-24
65801,"Toilet flush isn't working properly in Room C116, backing up.",Plumbing,toilet clogged,1009,Room A143,Medium,Resolved,Student,2025-10-25
65802,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room E121,High,Escalated,Student,2026-05-05
65803,No water pressure at all in the switchboard area.,Plumbing,no water supply,1008,Room D106,High,Open,Student,2024-07-01
65804,"Toilet flush isn't working properly in Room C144, backing up.",Plumbing,toilet clogged,1009,Room E143,Medium,In Progress,Staff,2026-07-18
65805,Neighbors near the room play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Room B105,Low,Resolved,Student,2024-01-08
65806,There's constant loud noise coming from Room B114 at night.,Noise/Nuisance,noise disturbance,1021,Room B131,Low,Open,Staff,2025-04-27
65807,There's a constant leak from the wash basin tap in Room B125.,Plumbing,tap leaking,1007,Room E101,Low,Open,Student,2024-11-03
65808,The power socket in Room E139 isn't working.,Electrical,power outlet not working,1003,Room C127,Medium,Resolved,Student,2025-06-23
65809,None of the plug points in my room are giving electricity.,Electrical,power outlet not working,1003,Block B Floor 2 corridor,Low,Resolved,Student,2026-07-21
65810,"Tube light in my room flickers constantly, very annoying.",Electrical,light flickering,1004,Room A130,Low,Resolved,Student,2026-07-11
65811,The toilet in Room B126 is clogged and won't flush.,Plumbing,toilet clogged,1009,Hostel 3 common washroom,Medium,Open,Staff,2026-08-01
65812,Ceiling in Room E141 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room A107,Medium,Resolved,Student,2026-08-17
65813,Power has been out in Room B135 for hours now.,Electrical,no electricity,1005,Room D124,Low,Resolved,Warden,2025-11-20
65814,Paint is peeling off the ceiling due to dampness in Room B108.,Structural,ceiling/wall damage,1014,Room A130,Low,Open,Student,2025-06-16
65815,There's constant loud noise coming from Room E142 at night.,Noise/Nuisance,noise disturbance,1021,Room E122,Low,Open,Student,2025-10-24
65816,"The door lock in Room D108 is broken, doesn't latch properly.",Structural,door/window broken,1015,Hostel 5 common washroom,Medium,Open,Staff,2025-02-21
65817,The bed frame in Room C136 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room E105,Medium,Open,Student,2024-03-02
65818,"There are exposed wires near the washbasin in Room B139, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room D104,High,Open,Student,2025-06-22
65819,"There are cockroaches in Room C124, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room B101,High,Open,Student,2025-07-09
65820,Connection near the kitchen area keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room E137,Low,Open,Student,2025-08-12
65821,"Toilet flush isn't working properly in Room A130, backing up.",Plumbing,toilet clogged,1009,Room A118,Medium,Resolved,Student,2026-02-03
65822,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room B136,Low,In Progress,Student,2025-12-04
65823,Window glass in Room E126 is cracked.,Structural,door/window broken,1015,Room D111,High,Open,Student,2026-02-28
65824,Bed in Room A144 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room C131,High,Open,Student,2024-11-28
65825,Room temperature isn't dropping even with AC on full in Block D Floor 3 corridor.,HVAC/Fan,AC not cooling,1002,Room D108,Low,Resolved,Warden,2025-01-29
65826,Window glass in Room D109 is cracked.,Structural,door/window broken,1015,Room B134,High,Escalated,Student,2025-07-18
65827,"Taps in Room A129 are completely dry, no water at all.",Plumbing,no water supply,1008,Room A122,High,Escalated,Student,2026-02-03
65828,"There are exposed wires near the kitchen area in Room C109, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room D115,High,In Progress,Student,2026-07-30
65829,Bulb near the window is flickering and about to die.,Electrical,light flickering,1004,Room C133,Medium,Resolved,Student,2026-07-27
65830,"There are exposed wires near the common room in Room C108, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room A113,High,Open,Student,2025-09-04
65831,WiFi is too slow to even load a webpage in my room.,Internet/WiFi,slow internet,1018,Room C121,Medium,Resolved,Faculty,2024-07-08
65832,Mold is forming on the wall due to constant dampness in Room A101.,Structural,seepage/dampness,1016,Room A134,High,Escalated,Warden,2026-03-09
65833,Internet speed in Room A129 is extremely slow.,Internet/WiFi,slow internet,1018,Room E136,Medium,Resolved,Student,2024-07-22
65834,Connection near the balcony keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room B140,High,Resolved,Warden,2025-11-21
65835,Mold is forming on the wall due to constant dampness in Hostel 3 common washroom.,Structural,seepage/dampness,1016,Room A116,High,Open,Student,2026-03-19
65836,The tap in Room C124 is leaking non-stop.,Plumbing,tap leaking,1007,Room B109,Medium,Open,Student,2024-05-02
65837,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room D123,High,Open,Student,2024-05-29
65838,There's constant loud noise coming from Room B132 at night.,Noise/Nuisance,noise disturbance,1021,Room B141,Low,Resolved,Student,2024-01-03
65839,Bed in Room A120 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room C140,High,Open,Warden,2024-03-31
65840,Bed in Room C136 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room D112,High,In Progress,Student,2025-07-28
65841,"Lights in Room C114 are unstable, they blink randomly.",Electrical,light flickering,1004,Hostel 7 common washroom,Low,Resolved,Student,2026-07-02
65842,The power socket in Room D126 isn't working.,Electrical,power outlet not working,1003,Room D142,Low,Resolved,Student,2024-02-06
65843,The bathroom fan has completely stopped working.,HVAC/Fan,fan not working,1001,Room B120,Medium,In Progress,Student,2026-08-05
65844,The corner fan is making a weird clicking noise.,HVAC/Fan,fan making noise,1000,Room E125,Low,In Progress,Student,2025-10-23
65845,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room D105,Low,Resolved,Student,2025-04-15
65846,There's no power supply at all in Room A105.,Electrical,no electricity,1005,Room B127,High,Resolved,Student,2025-02-21
65847,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room E113,High,Escalated,Student,2025-07-01
65848,Connection near the bed keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room D106,Low,Resolved,Student,2026-05-13
65849,"There are cockroaches in Room A120, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room A105,High,Open,Faculty,2026-02-22
65850,Corridor near the balcony is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room E144,Low,Open,Staff,2026-06-19
65851,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room E104,Low,Open,Student,2025-05-22
65852,There's no power supply at all in Room E136.,Electrical,no electricity,1005,Room A133,High,Open,Warden,2024-02-22
65853,Connection near the wall-mounted keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room C106,Low,Open,Faculty,2024-07-28
65854,Main door hinge near the hallway is loose and squeaky.,Structural,door/window broken,1015,Room A139,Medium,Open,Student,2025-05-12
65855,The toilet in Room D108 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room D133,Medium,In Progress,Warden,2024-08-22
65856,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room C131,Low,Open,Student,2025-05-05
65857,The Block A Floor 4 corridor hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room B102,Low,Escalated,Student,2025-01-01
65858,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room B116,High,Resolved,Student,2024-03-01
65859,The light in Room E142 keeps flickering on and off.,Electrical,light flickering,1004,Block B Floor 2 corridor,Medium,Open,Faculty,2025-04-06
65860,There's water seepage on the wall in Room D128.,Structural,seepage/dampness,1016,Room E106,High,Open,Student,2024-10-06
65861,Paint is peeling off the ceiling due to dampness in Room A132.,Structural,ceiling/wall damage,1014,Room A113,Low,In Progress,Student,2025-05-10
65862,Ceiling in Room C133 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room E112,High,In Progress,Student,2025-03-09
65863,The WiFi router near the bathroom seems to be down.,Internet/WiFi,wifi not working,1017,Room B101,Low,Resolved,Faculty,2024-07-19
65864,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room C125,Medium,In Progress,Warden,2024-05-07
65865,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room D135,Low,Open,Student,2024-03-26
65866,There's no water coming from the tap in Room D129.,Plumbing,no water supply,1008,Room A131,High,Open,Student,2026-03-24
65867,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room C119,Low,Resolved,Student,2024-10-15
65868,"Window in my room won't close all the way, lets in rain.",Structural,door/window broken,1015,Room A140,Medium,In Progress,Student,2024-03-31
65869,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room A107,High,Resolved,Staff,2026-02-19
65870,There's no water coming from the tap in Room A101.,Plumbing,no water supply,1008,Room C114,High,Resolved,Student,2024-05-07
65871,"Taps in Room B143 are completely dry, no water at all.",Plumbing,no water supply,1008,Room C119,High,Open,Student,2024-04-10
65872,The cupboard door in Room E126 won't close properly.,Furniture,cupboard/door issue,1013,Room A107,Low,Resolved,Staff,2026-06-22
65873,There's a crack forming on the ceiling in Room B120.,Structural,ceiling/wall damage,1014,Room E142,Low,Open,Staff,2024-08-03
65874,Bed in Room E130 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room A140,High,In Progress,Student,2025-08-14
65875,Mold is forming on the wall due to constant dampness in Room C123.,Structural,seepage/dampness,1016,Block C Floor 1 corridor,High,In Progress,Student,2024-04-10
65876,There's no power supply at all in Room E118.,Electrical,no electricity,1005,Room E103,High,In Progress,Warden,2024-04-04
65877,"There are cockroaches in Room A139, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room B140,High,In Progress,Student,2024-08-14
65878,No internet connectivity in my room since last night.,Internet/WiFi,wifi not working,1017,Room A120,Low,In Progress,Student,2026-05-03
65879,Fan in Room C108 doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room B106,Low,Resolved,Student,2026-07-09
65880,There's a crack forming on the ceiling in Room B130.,Structural,ceiling/wall damage,1014,the main lobby,Low,Open,Student,2026-01-28
65881,The AC in Room E105 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room B126,Low,In Progress,Student,2025-10-11
65882,The cupboard door in Room E142 won't close properly.,Furniture,cupboard/door issue,1013,Room C140,Low,Resolved,Student,2025-03-22
65883,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room B118,High,Resolved,Student,2025-01-24
65884,Bed in Room C121 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room E113,High,Open,Student,2026-07-21
65885,The power socket in Room A142 isn't working.,Electrical,power outlet not working,1003,Room E114,High,Resolved,Student,2025-02-22
65886,There's water seepage on the wall in Room E110.,Structural,seepage/dampness,1016,Room B112,High,Resolved,Student,2025-04-22
65887,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room E144,High,Resolved,Student,2025-12-06
65888,WiFi isn't working at all in Room C131.,Internet/WiFi,wifi not working,1017,Room B108,Medium,In Progress,Student,2026-07-15
65889,"I can't charge my devices, the socket in Room A107 is dead.",Electrical,power outlet not working,1003,Room B111,Low,In Progress,Student,2025-01-13
65890,"Taps in Room D116 are completely dry, no water at all.",Plumbing,no water supply,1008,Room E126,High,Open,Student,2024-09-19
65891,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room E111,Low,Open,Student,2025-04-05
65892,"Toilet flush isn't working properly in Room C116, backing up.",Plumbing,toilet clogged,1009,Room B125,Medium,In Progress,Student,2026-06-04
65893,Construction noise near Room A136 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room E137,Low,In Progress,Student,2026-05-27
65894,The power socket in Room D121 isn't working.,Electrical,power outlet not working,1003,Room D136,Medium,Open,Student,2024-08-11
65895,There's water seepage on the wall in Room C107.,Structural,seepage/dampness,1016,Room E108,High,In Progress,Student,2024-06-29
65896,"Lights in Room E106 are unstable, they blink randomly.",Electrical,light flickering,1004,Room B109,Low,Resolved,Student,2026-05-28
65897,"Room smells damp, there's visible moisture near the bed.",Structural,seepage/dampness,1016,Room C111,Low,Open,Student,2024-07-14
65898,"Fan in Room B112 is really noisy, sounds like a drill.",HVAC/Fan,fan making noise,1000,Room E143,Low,In Progress,Student,2024-05-09
65899,"There are exposed wires near the window in Room B129, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room B103,High,In Progress,Student,2024-03-16
65900,"The chair in Room C107 is broken, one leg is cracked.",Furniture,chair broken,1011,Block A Floor 2 corridor,High,In Progress,Student,2025-11-16
65901,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room A127,High,Resolved,Warden,2026-04-15
65902,"The chair in Room D133 is broken, one leg is cracked.",Furniture,chair broken,1011,Room A131,High,In Progress,Student,2024-10-25
65903,"Toilet flush isn't working properly in Room C110, backing up.",Plumbing,toilet clogged,1009,Room A134,Medium,Open,Student,2026-07-20
65904,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room E122,Low,Open,Staff,2024-12-12
65905,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room B102,High,Resolved,Student,2025-12-13
65906,There's no power supply at all in Room B143.,Electrical,no electricity,1005,Room B111,High,Open,Student,2025-09-01
65907,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room E124,Medium,Resolved,Warden,2026-06-03
65908,There's a crack forming on the ceiling in Room B130.,Structural,ceiling/wall damage,1014,the mess hall,Low,Resolved,Student,2026-05-04
65909,The wall-mounted fan is making a weird rattling noise.,HVAC/Fan,fan making noise,1000,Room C114,Low,Open,Student,2024-02-27
65910,The hallway fan switch works but the blades don't move.,HVAC/Fan,fan not working,1001,Room C106,Low,In Progress,Student,2025-01-27
65911,Power point in the room sparked and now doesn't work.,Electrical,power outlet not working,1003,Room C103,Medium,Open,Warden,2024-07-02
65912,The AC in Room B105 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room A124,Low,Open,Student,2025-06-04
65913,Ceiling in Room E127 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room E114,Medium,In Progress,Student,2026-02-14
65914,There's constant loud noise coming from Block C Floor 1 corridor at night.,Noise/Nuisance,noise disturbance,1021,Room E133,Low,Resolved,Student,2026-01-13
65915,Wall near the staircase landing has a large crack spreading.,Structural,ceiling/wall damage,1014,Room A118,High,Resolved,Student,2024-01-23
65916,"My room lost electricity completely, need urgent fix.",Electrical,no electricity,1005,Room E106,High,Open,Staff,2026-08-15
65917,Internet speed in Room E116 is extremely slow.,Internet/WiFi,slow internet,1018,Room E134,Medium,In Progress,Student,2024-09-15
65918,The toilet in Room A137 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room D114,Medium,Resolved,Student,2026-03-30
65919,The Room A102 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room A135,Low,In Progress,Student,2025-03-11
65920,Can someone check the wall-mounted fan? It's buzzing every time it spins.,HVAC/Fan,fan making noise,1000,Room E132,Low,Resolved,Student,2024-11-27
65921,There's a crack forming on the ceiling in Room C102.,Structural,ceiling/wall damage,1014,Room B120,Low,Open,Warden,2025-08-27
65922,"I can't charge my devices, the socket in Room A104 is dead.",Electrical,power outlet not working,1003,Room C139,Low,Open,Student,2026-02-28
65923,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room C138,High,Resolved,Student,2026-03-01
65924,Room temperature isn't dropping even with AC on full in Room D116.,HVAC/Fan,AC not cooling,1002,Room B127,Low,Resolved,Student,2026-03-26
65925,AC unit in my room has stopped cooling properly.,HVAC/Fan,AC not cooling,1002,Room A116,Medium,In Progress,Student,2024-04-27
65926,Main door hinge near the corner is loose and squeaky.,Structural,door/window broken,1015,Room C108,Medium,In Progress,Staff,2024-04-22
65927,Window glass in Room A129 is cracked.,Structural,door/window broken,1015,Room D129,High,In Progress,Visitor,2025-07-31
65928,Common washroom near the staircase landing is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room A128,Low,Open,Staff,2024-01-22
65929,Bed in Room C120 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room D127,High,Open,Student,2025-08-15
65930,Window glass in Room A114 is cracked.,Structural,door/window broken,1015,Room E123,High,Resolved,Student,2024-09-15
65931,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room D120,Low,Resolved,Warden,2024-01-23
65932,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room E135,Low,In Progress,Student,2025-09-06
65933,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room A120,Medium,Open,Student,2025-01-02
65934,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room E137,Low,Resolved,Student,2024-03-16
65935,The WiFi router near the kitchen area seems to be down.,Internet/WiFi,wifi not working,1017,Block C Floor 4 corridor,Medium,Open,Student,2025-06-10
65936,There's a pipe leaking under the staircase landing in Room A140.,Plumbing,pipe leakage,1010,Room C101,Medium,Resolved,Student,2024-04-27
65937,Internet speed in Room A118 is extremely slow.,Internet/WiFi,slow internet,1018,Room D122,Medium,Resolved,Staff,2024-07-15
65938,Connection near the balcony keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room B141,Low,In Progress,Student,2024-12-06
65939,Chair near the bathroom has a broken backrest.,Furniture,chair broken,1011,Room C116,Medium,In Progress,Faculty,2024-09-04
65940,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room E120,Low,Open,Student,2025-10-05
65941,The toilet in Room E116 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room E114,Medium,Escalated,Student,2025-03-27
65942,The entrance fan switch works but the blades don't move.,HVAC/Fan,fan not working,1001,Room A129,Low,Open,Student,2026-03-09
65943,Window glass in Room A118 is cracked.,Structural,door/window broken,1015,Room C137,High,Resolved,Student,2025-07-07
65944,The toilet in Room C132 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room C107,Medium,In Progress,Student,2025-07-08
65945,The tap in Room C107 is leaking non-stop.,Plumbing,tap leaking,1007,Room D136,Medium,Open,Student,2025-06-02
65946,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room A139,Medium,Resolved,Student,2026-06-29
65947,The bed frame in Room E116 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room A120,Medium,Open,Student,2024-07-30
65948,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room E121,High,Escalated,Student,2026-07-23
65949,Fan in Block B Floor 1 corridor doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room E144,Low,Resolved,Warden,2025-05-01
65950,I found ants all over the hallway in my room.,Cleaning/Sanitation,pest issue,1020,Hostel 4 common washroom,Low,Open,Student,2024-11-24
65951,I found ants all over the entrance in my room.,Cleaning/Sanitation,pest issue,1020,Room C123,Low,Escalated,Faculty,2025-03-12
65952,WiFi is too slow to even load a webpage in my room.,Internet/WiFi,slow internet,1018,Room D110,High,Open,Student,2026-06-13
65953,Internet speed in Room B119 is extremely slow.,Internet/WiFi,slow internet,1018,Room B107,Medium,Open,Warden,2024-10-05
65954,No internet connectivity in my room since last night.,Internet/WiFi,wifi not working,1017,Room D106,Low,Resolved,Student,2026-05-06
65955,The cupboard door in Room B133 won't close properly.,Furniture,cupboard/door issue,1013,Room D122,Low,Escalated,Student,2024-06-25
65956,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Block A Floor 2 corridor,Medium,Open,Student,2025-02-23
65957,Bulb near the ceiling is flickering and about to die.,Electrical,light flickering,1004,Room C141,Medium,Resolved,Student,2025-07-15
65958,The power socket in Room A121 isn't working.,Electrical,power outlet not working,1003,Room E116,Medium,Resolved,Student,2026-04-16
65959,"Toilet flush isn't working properly in Room B102, backing up.",Plumbing,toilet clogged,1009,Room A132,Medium,Resolved,Student,2026-08-02
65960,"The wall-mounted AC seems to be broken, no cold air coming out.",HVAC/Fan,AC not cooling,1002,Room D126,Medium,Resolved,Student,2026-03-19
65961,No internet connectivity in my room since last night.,Internet/WiFi,wifi not working,1017,Block A Floor 4 corridor,Low,Open,Student,2025-01-31
65962,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room D121,Medium,In Progress,Student,2024-11-18
65963,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room A118,Low,Resolved,Student,2024-12-29
65964,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room E114,Medium,Resolved,Warden,2025-09-28
65965,Fan stopped spinning suddenly in Room A104.,HVAC/Fan,fan not working,1001,Room A122,Medium,In Progress,Student,2024-06-13
65966,"Desk near the study table has a cracked surface, needs repair.",Furniture,bed/desk damaged,1012,Room B142,High,In Progress,Student,2025-09-05
65967,The Room E124 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room C136,Low,Resolved,Student,2026-08-02
65968,Bulb near the balcony is flickering and about to die.,Electrical,light flickering,1004,Room C115,High,Resolved,Warden,2025-06-27
65969,Fan in Room B144 doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room E123,Low,Open,Student,2024-03-27
65970,WiFi isn't working at all in Room D115.,Internet/WiFi,wifi not working,1017,Room D102,Medium,Resolved,Faculty,2026-07-05
65971,There's no power supply at all in Room E122.,Electrical,no electricity,1005,Room C115,High,Escalated,Student,2026-04-15
65972,There's water seepage on the wall in Room E124.,Structural,seepage/dampness,1016,Room A116,Low,In Progress,Student,2026-03-25
65973,study table fan sounds like a helicopter whenever it's on.,HVAC/Fan,fan making noise,1000,Room D135,Low,Open,Student,2024-05-17
65974,WiFi isn't working at all in Room D136.,Internet/WiFi,wifi not working,1017,Block D Floor 2 corridor,Medium,Resolved,Student,2026-02-11
65975,"The door lock in Room D117 is broken, doesn't latch properly.",Structural,door/window broken,1015,Room D114,Medium,Resolved,Student,2026-06-09
65976,Fan stopped spinning suddenly in Room D108.,HVAC/Fan,fan not working,1001,Room D143,Medium,In Progress,Student,2024-08-06
65977,The toilet in Room B115 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room B113,Medium,Resolved,Student,2026-04-02
65978,"Toilet flush isn't working properly in Room B140, backing up.",Plumbing,toilet clogged,1009,Room E108,Medium,Resolved,Student,2025-01-13
65979,The bed frame in Room D130 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room B137,Medium,Open,Student,2026-03-10
65980,The cupboard door in Room C101 won't close properly.,Furniture,cupboard/door issue,1013,Room A128,Low,Open,Faculty,2024-04-21
65981,"Toilet flush isn't working properly in Room D113, backing up.",Plumbing,toilet clogged,1009,Room C132,Medium,Open,Staff,2024-05-12
65982,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room C135,High,Resolved,Student,2025-10-27
65983,WiFi isn't working at all in Hostel 2 common washroom.,Internet/WiFi,wifi not working,1017,Room B121,Medium,Resolved,Student,2024-02-28
65984,"There are cockroaches in Room A129, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room B128,Medium,Resolved,Staff,2025-06-12
65985,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room A132,High,Resolved,Student,2024-10-23
65986,Trash hasn't been collected from Room C115 for days.,Cleaning/Sanitation,room not cleaned,1019,Room D119,Low,Resolved,Student,2025-06-02
65987,There's a crack forming on the ceiling in Block C Floor 1 corridor.,Structural,ceiling/wall damage,1014,Room D127,Low,In Progress,Student,2025-12-19
65988,"There are exposed wires near the bathroom in Room E117, looks dangerous.",Electrical,wiring exposed / hazard,1006,Room B117,High,In Progress,Student,2024-05-04
65989,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room A140,High,Resolved,Warden,2025-09-25
65990,Air conditioner is running but blowing warm air.,HVAC/Fan,AC not cooling,1002,Room B112,Low,In Progress,Warden,2024-02-18
65991,Connection near the balcony keeps buffering constantly.,Internet/WiFi,slow internet,1018,Room C110,Low,Resolved,Student,2025-03-07
65992,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room D125,Medium,Open,Student,2025-02-06
65993,Common washroom near the bathroom is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room A137,Low,Resolved,Staff,2024-12-28
65994,There's water seepage on the wall in Room B141.,Structural,seepage/dampness,1016,Room E110,High,Open,Student,2024-08-25
65995,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room E111,Low,Open,Warden,2025-01-24
65996,"Window in my room won't close all the way, lets in rain.",Structural,door/window broken,1015,Room A131,Low,Resolved,Staff,2024-04-18
65997,No water pressure at all in the common room area.,Plumbing,no water supply,1008,Room E127,Medium,Open,Visitor,2024-11-12
